,Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
1187,284 Eltham Yarra Glen Road ,KANGAROO GROUND VIC 3097,KANGAROO GROUND,VIC,3097,House,9-Oct-21,auction,2200000,2,1,0,0,Fletchers Warrandyte,-37.6880066,145.2163124,26.32030248
1322,2 Wonderland Avenue ,TUERONG VIC 3915,TUERONG,VIC,3915,House,16-Jun-18,auction,2180000,4,2,2,0,McEwing Partners,-38.3101671,145.1395252,57.28578402
2619,85 Richardson Street ,ALBERT PARK VIC 3206,ALBERT PARK,VIC,3206,House,4-Jul-19,Another Method,2380000,3,2,0,0,RT Edgar Albert Park,-37.84490955,144.9538395,3.510706036
4110,115 Wildwood Road ,BULLA VIC 3428,BULLA,VIC,3428,House,6-Oct-18,private treaty,2000000,4,5,3,0,Rendina Real Estate,-37.6407889,144.8160893,23.22775616
5339,3/1 Kalimna Street ,PRESTON WEST VIC 3072,PRESTON WEST,VIC,3072,Townhouse,26-May-22,private treaty,720500,2,1,1,0,Woodards Preston,-37.7380031,144.9956069,8.944395845
7179,51/124-136 Mason Street ,NEWPORT VIC 3015,NEWPORT,VIC,3015,Townhouse,1-Jul-21,Another Method,953000,3,2,2,0,buymyplace,-37.8423064,144.8835622,7.659337551
10730,UNIT 907/20 SHAMROCK STREET ,ABBOTSFORD VIC 3067,ABBOTSFORD,VIC,3067,Apartment ,17-Mar-22,Another Method,545000,2,2,1,0,Property Now,-37.8045508,144.9988542,3.315828467
13286,266/488 Swanston Street ,MELBOURNE VIC 3000,MELBOURNE,VIC,3000,Apartment ,3-Jul-09,Another Method,110000,1,1,0,0,Property X,-37.8142176,144.9631608,0.0
13488,3 Dove Lane ,KORIELLA VIC 3714,KORIELLA,VIC,3714,House,11-Nov-16,private treaty,40000,3,1,2,0,UNKNOWN,-37.1795427,145.675047,94.49966006
14026,Unit 5708/570 Lygon Street ,CARLTON VIC 3053,CARLTON,VIC,3053,Apartment ,19-Apr-22,Another Method,235000,1,1,0,0,buymyplace,-37.8004228,144.9684343,1.602852289
14355,117/131 Pelham Street ,CARLTON SOUTH VIC 3053,CARLTON SOUTH,VIC,3053,Studio,19-Oct-18,private treaty,157500,0,1,0,0,Minus The Agent,-37.80251538,144.9637862,1.302795748
14384,748 Top Rd ,TERIP TERIP VIC 3719,TERIP TERIP,VIC,3719,House,4-Sep-17,private treaty,185000,3,1,2,0,UNKNOWN,-36.9891788,145.5540024,105.5792639
16153,143/29 Queens Road ,MELBOURNE (3004) VIC 3004,MELBOURNE (3004),VIC,3004,Apartment ,6-Aug-15,private treaty,1495000,3,2,2,0,RT Edgar Albert Park,-37.8383341,144.9739141,2.843982545
16181,9/25 Foam Street ,ELWOOD VIC 3184,ELWOOD,VIC,3184,Apartment ,23-Feb-22,Another Method,330000,1,1,1,0,buymyplace,-37.8853397,144.9907761,8.274362922
17230,10/18 Normanby Street ,WINDSOR VIC 3181,WINDSOR,VIC,3181,Apartment ,23-Feb-22,Another Method,375000,1,1,1,0,buymyplace,-37.8533849,145.0012485,5.493186987
17558,235 Killingworth Rd ,KILLINGWORTH VIC 3717,KILLINGWORTH,VIC,3717,House,24-Nov-21,private treaty,1340000,3,2,2,0,UNKNOWN,-37.1806764,145.4268756,81.48846975
18681,102/1273 High Street ,MALVERN VIC 3144,MALVERN,VIC,3144,Apartment ,23-Jul-21,Another Method,1100000,2,2,2,0,buymyplace,-37.8576088,145.0350666,7.949468421
19656,42 Gibdon Street ,BURNLEY VIC 3121,BURNLEY,VIC,3121,House,10-Jul-21,auction,1650000,2,2,1,0,Thomson ,-37.829921,145.0105923,4.518691379
21103,15 Cullen Crt ,SPOTSWOOD VIC 3015,SPOTSWOOD,VIC,3015,Townhouse,13-Feb-22,Another Method,850000,2,2,2,0,Property Now,-37.8265155,144.8796813,7.461350193
21940,Penthouse5/431 St Kilda Road ,MELBOURNE 3004 VIC 3004,MELBOURNE 3004,VIC,3004,Apartment ,12-May-18,auction,1417000,3,2,2,0,Biggin & Scott Stonnington,-37.8142176,144.9631608,0.0
22450,144 Dover Street ,CREMORNE VIC 3121,CREMORNE,VIC,3121,Townhouse,10-May-22,private treaty,1450000,3,2,2,0,Kay & Burton South Yarra,-37.8277075,144.9918073,2.930305006
22695,13 Flynn Terrace ,SANDHURST VIC 3977,SANDHURST,VIC,3977,House,24-Mar-22,auction,982500,3,2,2,0,Ray White Patterson Lakes,-38.0803268,145.2052031,36.4258382
24726,21 Waratah Avenue ,GLEN HUNTLY VIC 3163,GLEN HUNTLY,VIC,3163,Townhouse,14-Jul-22,private treaty,1250000,3,2,2,0,Spiro Vasiliadis,-37.8917774,145.0428508,11.10892047
24994,1031-1069 Swan Bay Road ,MANNERIM VIC 3222,MANNERIM,VIC,3222,House,5-Dec-21,private treaty,2675000,3,2,6,1,HF RICHARDSON PROPERTY PTY LTD,-38.219588,144.5915052,55.62120238
25460,838 Troups RD S ,MOUNT COTTRELL VIC 3024,MOUNT COTTRELL,VIC,3024,House,15-Dec-16,private treaty,2800000,3,2,2,1,UNKNOWN,-37.7775512,144.6631998,26.67825405
25704,2 Hastings Street ,PEARCEDALE VIC 3912,PEARCEDALE,VIC,3912,House,11-Dec-21,auction,1180000,4,2,2,1009,OBrien Real Estate Cranbourne,-38.2070289,145.2371911,49.85730488
26392,18 Switchyard Place ,RUBICON VIC 3712,RUBICON,VIC,3712,House,29-Dec-21,private treaty,267000,3,1,0,1116,UNKNOWN,-37.2941826,145.8190999,95.09209123
26502,49 Horwood Drive ,BREAMLEA VIC 3227,BREAMLEA,VIC,3227,House,8-Apr-22,private treaty,1700000,3,2,2,1150,Bellarine Property Pty Ltd,-38.2940801,144.3928522,73.10215895
